first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Kevin,Syler,Kevin Syler,El Nino Bala,"5' 9""",155 lbs.,"71.0""",Switch,10,1,0
Leo,Sylvest,Leo Sylvest,Lethal,"5' 11""",205 lbs.,--,Orthodox,10,16,0
Tony,Sylvester,Tony Sylvester,,"6' 1""",225 lbs.,--,Southpaw,11,3,0
Tim,Sylvia,Tim Sylvia,The Maine-iac,"6' 8""",265 lbs.,"80.0""",Orthodox,31,10,0
Kevin,Szaflarski,Kevin Szaflarski,,"6' 5""",260 lbs.,"77.0""",Orthodox,11,2,0
Sebastian,Szalay,Sebastian Szalay,Seb,"5' 6""",145 lbs.,"66.0""",Orthodox,9,1,0
Bartosz,Szewczyk,Bartosz Szewczyk,,"6' 4""",205 lbs.,"73.0""",Orthodox,8,3,1
Tom,Aaron,Tom Aaron,,--,155 lbs.,--,,5,3,0
Danny,Abbadi,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0
Nariman,Abbasov,Nariman Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
David,Abbott,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0
Hamdy,Abdelwahab,Hamdy Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,1,0
Mansur,Abdul-Malik,Mansur Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,8,0,1
Shamil,Abdurakhimov,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
Hiroyuki,Abe,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3
Daichi,Abe,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
Papy,Abedi,Papy Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0
Ricardo,Abreu,Ricardo Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0
Klidson,Abreu,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0
Cyborg,Abreu,Cyborg Abreu,,--,--,--,,0,0,0
Daniel,Acacio,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0
John,Adajar,John Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0
Scott,Adams,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0
Juan,Adams,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0
Anthony,Adams,Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0
Zarrukh,Adashev,Zarrukh Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0
Israel,Adesanya,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,5,0
Sam,Adkins,Sam Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2
Mohamed,Ado,Mohamed Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1,0
Nick,Agallar,Nick Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0
Mariya,Agapova,Mariya Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0
Kantharaj,Agasa,Kantharaj Agasa,Kannadiga,--,135 lbs.,--,,12,3,0
Marcelo,Aguiar,Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1
Fabio,Aguiar,Fabio Aguiar,,"6' 0""",185 lbs.,--,,17,1,0
Edwin,Aguilar,Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0
Jessica,Aguilar,Jessica Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0
Kevin,Aguilar,Kevin Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0
Jesus,Aguilar,Jesus Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,11,3,0
Christian,Aguilera,Christian Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0
Nick,Aguirre,Nick Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0
,Agulali,Agulali,,"5' 9""",125 lbs.,"67.0""",Switch,13,1,0
Ahejiang,Ailinuer,Ahejiang Ailinuer,,--,145 lbs.,--,,15,3,0
Mike,Aina,Mike Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1
Ashiek,Ajim,Ashiek Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0
Hitomi,Akano,Hitomi Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0
Omari,Akhmedov,Omari Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1
Yoshihiro,Akiyama,Yoshihiro Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0
Rostem,Akman,Rostem Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0
Razak,Al-Hassan,Razak Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0
Abdul-Kareem,Al-Selwady,Abdul-Kareem Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0
Mostapha,Al-Turk,Mostapha Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0
Herdem,Alacabek,Herdem Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0
Javi,Alanis,Javi Alanis,,"5' 6""",135 lbs.,--,,0,4,0
,Alatengheili,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,10,2
Amir,Albazi,Amir Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,2,0
Brett,Albee,Brett Albee,,--,225 lbs.,--,,3,2,0
John,Albert,John Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0
Junior,Albini,Junior Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0
Wes,Albritton,Wes Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0
Aleksandra,Albu,Aleksandra Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0
Israel,Albuquerque,Israel Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0
Juan,Alcain,Juan Alcain,,--,--,--,,1,2,0
Iuri,Alcantara,Iuri Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0
Ildemar,Alcantara,Ildemar Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0
Alfonso,Alcarez,Alfonso Alcarez,,"5' 3""",145 lbs.,--,,1,3,1
Gilbert,Aldana,Gilbert Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0
Irene,Aldana,Irene Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0
Hector,Aldana,Hector Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0
Jose,Alday,Jose Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1
Jose,Aldo,Jose Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,10,0
JJ,Aldrich,JJ Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,14,7,0
Irina,Alekseeva,Irina Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,3,0
Talita,Alencar,Talita Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,6,1,1
Jim,Alers,Jim Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0
John,Alessio,John Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0
Houston,Alexander,Houston Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1
Kenneth,Alexander,Kenneth Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0
Lucas,Alexander,Lucas Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0
Marcio,Alexandre Junior,Marcio Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0
Olaf,Alfonso,Olaf Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0
Pablo,Alfonso,Pablo Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0
Levi,Alford,Levi Alford,,--,--,--,,1,7,0
Bill,Algeo,Bill Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0
Royce,Alger,Royce Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0
Amir,Aliakbari,Amir Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0
Sultan,Aliev,Sultan Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0
Nurullo,Aliev,Nurullo Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,10,0,0
Ikram,Aliskerov,Ikram Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,16,2,0
Leon,Aliu,Leon Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0
John,Allan,John Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0
George,Allen,George Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2
Arnold,Allen,Arnold Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0
Brendan,Allen,Brendan Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,25,7,0
Daniel,Allen,Daniel Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0
Ben,Alloway,Ben Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0
Asu,Almabayev,Asu Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,22,3,0
Bekzat,Almakhan,Bekzat Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,12,2,0
John Dave,Almanza,John Dave Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0
Ricardo,Almeida,Ricardo Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0
Magno,Almeida,Magno Almeida,,"6' 0""",155 lbs.,--,,10,3,0
Thomas,Almeida,Thomas Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0
Ericka,Almeida,Ericka Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0
Estefani,Almeida,Estefani Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0
Jailton,Almeida,Jailton Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,22,3,0
Lucas,Almeida,Lucas Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,4,0
Cesar,Almeida,Cesar Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7,1,0
Mauricio,Alonso,Mauricio Alonso,,"6' 2""",170 lbs.,--,,13,7,0
Sarah,Alpar,Sarah Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0
Ali,AlQaisi,Ali AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
Rico,Altamirano,Rico Altamirano,,"5' 10""",170 lbs.,--,,4,3,0
Victor,Altamirano,Victor Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0
Mike,Altman,Mike Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0
Patricia,Alujas,Patricia Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0
Sean,Alvarez,Sean Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0
Eddie,Alvarez,Eddie Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0
Jaime,Alvarez,Jaime Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0
Joel,Alvarez,Joel Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,22,3,0
Thiago,Alves,Thiago Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0
Anthony,Alves,Anthony Alves,,--,--,--,,1,4,0
Amilcar,Alves,Amilcar Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0
Warlley,Alves,Warlley Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0
Rafael,Alves,Rafael Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0
Sam,Alvey,Sam Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1
Mahamed,Aly,Mahamed Aly,,--,205 lbs.,--,,4,0,0
Andre,Amado,Andre Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1
Adlan,Amagov,Adlan Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1
Maiara,Amanajas dos Santos,Maiara Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0
Chris,Amarante,Chris Amarante,,--,185 lbs.,--,,2,0,0
Jimmy,Ambriz,Jimmy Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1
JJ,Ambrose,JJ Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0
Alen,Amedovski,Alen Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0
Hyder,Amil,Hyder Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11,1,0
Hamid,Amiri,Hamid Amiri,The Storm,--,145 lbs.,--,,9,0,0
Makwan,Amirkhani,Makwan Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0
Jaqueline,Amorim,Jaqueline Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10,1,0
Bertrand,Amoussou,Bertrand Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0
Karl,Amoussou,Karl Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2
Eryk,Anders,Eryk Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,17,8,0
Matt,Andersen,Matt Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1
Andy,Anderson,Andy Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0
Lowell,Anderson,Lowell Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0
Corey,Anderson,Corey Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0
Derek,Anderson,Derek Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0
Megan,Anderson,Megan Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0
Liam,Anderson,Liam Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0
Tatsuya,Ando,Tatsuya Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1
Alex,Andrade,Alex Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0
Jessica,Andrade,Jessica Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,14,0
Viscardi,Andrade,Viscardi Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0
Jermaine,Andre,Jermaine Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0
Juan,Andres Luna,Juan Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0
Fellipe,Andrew,Fellipe Andrew,,--,--,--,,0,0,0
Dylan,Andrews,Dylan Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0
Reese,Andy,Reese Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0
,Angga,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0
Julius,Anglickas,Julius Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0
Collin,Anglin,Collin Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0
Chad,Anheliger,Chad Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,8,0
Yoji,Anjo,Yoji Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1
Magomed,Ankalaev,Magomed Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21,1,1
Gadzhimurad,Antigulov,Gadzhimurad Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0
Adam,Antolin,Adam Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0
Angelo,Antonio,Angelo Antonio,,--,205 lbs.,--,Orthodox,1,4,0
Vanilto,Antunes,Vanilto Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0
Azunna,Anyanwu,Azunna Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0
Shinsho,Anzai,Shinsho Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0
Jin,Aoi,Jin Aoi,,"5' 6""",145 lbs.,"68.0""",Orthodox,14,6,1
Shinya,Aoki,Shinya Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0
,Aoriqileng,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,12,0
Josh,Appelt,Josh Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0
Erik,Apple,Erik Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0
Kenji,Arai,Kenji Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5
Romie,Aram,Romie Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0
Felipe,Arantes,Felipe Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1
Igor,Araujo,Igor Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0
Viviane,Araujo,Viviane Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13,7,0
Julio,Arce,Julio Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0
Art,Arciniega,Art Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0
Alice,Ardelean,Alice Ardelean,,"5' 3""",115 lbs.,"62.0""",Orthodox,10,7,0
Tristan,Arenal,Tristan Arenal,,--,155 lbs.,--,,7,4,0
Gabriel,Arges,Gabriel Arges,,--,170 lbs.,--,,0,0,0
Dan,Argueta,Dan Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,3,0
Reza,Arianto,Reza Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0
Hashem,Arkhagha,Hashem Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0
Andrei,Arlovski,Andrei Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0
Garrett,Armfield,Garrett Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,5,0
Joey,Armstrong,Joey Armstrong,,--,--,--,,5,2,0
Austin,Arnett,Austin Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0
Ricardo,Arona,Ricardo Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0
Eli,Aronov,Eli Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0
Chalid,Arrab,Chalid Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0
Akbarh,Arreola,Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1
Matt,Arroyo,Matt Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0
Antonio,Arroyo,Antonio Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0
Gilles,Arsene,Gilles Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0
Veta,Arteaga,Veta Arteaga,,"5' 7""",125 lbs.,--,,3,1,0
Cesar,Arzamendia,Cesar Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0
Kai,Asakura,Kai Asakura,,"5' 8""",125 lbs.,"69.0""",Orthodox,21,5,0
Teddy,Ash,Teddy Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0
Arman,Ashimov,Arman Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1
Yanal,Ashmouz,Yanal Ashmouz,Red Fox,"5' 9""",155 lbs.,"69.0""",Orthodox,8,2,0
,Asjabharan,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0
Askar,Askar,Askar Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0
Askar,Askarov,Askar Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1
Cyril,Asker,Cyril Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0
Khusein,Askhabov,Khusein Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0
Scott,Askham,Scott Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0
Ben,Askren,Ben Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0
Ibo,Aslan,Ibo Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,14,3,0
Tom,Aspinall,Tom Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,15,3,0
Bruno,Assis,Bruno Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0
Junior,Assuncao,Junior Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0
Raphael,Assuncao,Raphael Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0
Michael,Aswell,Michael Aswell,The Texas Kid,"5' 8""",155 lbs.,"69.0""",Orthodox,10,3,0
Bazigit,Atajev,Bazigit Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0
Rich,Attonito,Rich Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0
Olivier,Aubin-Mercier,Olivier Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0
Pat,Audinwood,Pat Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1
Jose,Augusto,Jose Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0
Marcus,Aurelio,Marcus Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0
David,Avellan,David Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0
Blas,Avena,Blas Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0
Levi,Avera,Levi Avera,,"6' 1""",170 lbs.,--,,18,15,0
Anthony,Avila,Anthony Avila,,"5' 7""",145 lbs.,--,,13,5,0
Chris,Avila,Chris Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0
Julia,Avila,Julia Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,4,0
Saad,Awad,Saad Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0
Javy,Ayala,Javy Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0
Jessin,Ayari,Jessin Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0
Abu,Azaitar,Abu Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1
Ottman,Azaitar,Ottman Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,3,0
Luiz,Azeredo,Luiz Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0
Luciano,Azevedo,Luciano Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1
Hunter,Azure,Hunter Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0
